function_name,valid,total_size,max_action,type_offset,type_encoding,call_site_encoding,call_site_count,call_site_size,action_table_count,action_table_size,type_table_count,type_table_size
main,True,54,3,37,pcrel,uleb128,5,23,3,6,2,8
bar_noexcept,True,0,0,0,omit,uleb128,0,0,0,0,0,0
baz_noexcept,True,0,0,0,omit,uleb128,0,0,0,0,0,0
qaz_noexcept,True,0,0,0,omit,uleb128,0,0,0,0,0,0
bar,False,0,0,0,omit,omit,0,0,0,0,0,0
baz,False,0,0,0,omit,omit,0,0,0,0,0,0
qaz,False,0,0,0,omit,omit,0,0,0,0,0,0
noexcept_calls_all_noexcept,False,0,0,0,omit,omit,0,0,0,0,0,0
noexcept_calls_mixed_functions,True,0,0,0,omit,uleb128,0,0,0,0,0,0
except_calls_all_noexcept,False,0,0,0,omit,omit,0,0,0,0,0,0
except_calls_mixed,True,0,0,0,omit,uleb128,0,0,0,0,0,0
except_calls_except,False,0,0,0,omit,omit,0,0,0,0,0,0
noexcept_calls_except,True,0,0,0,omit,uleb128,0,0,0,0,0,0
noexcept_calls_mixed_in_try_catch,True,30,1,13,pcrel,uleb128,1,4,3,6,1,4
except_calls_except_in_try_catch,True,34,1,17,pcrel,uleb128,2,8,3,6,1,4
noexcept_calls_except_in_try_catch,True,30,1,13,pcrel,uleb128,1,4,3,6,1,4
except_calling_mixed_in_try_catch,True,34,1,17,pcrel,uleb128,2,8,3,6,1,4
initialize,False,0,0,0,omit,omit,0,0,0,0,0,0
my_class::state_noexcept,False,0,0,0,omit,omit,0,0,0,0,0,0
my_class::state,False,0,0,0,omit,omit,0,0,0,0,0,0
dtor::non_trivial_dtor::action,False,0,0,0,omit,omit,0,0,0,0,0,0
dtor::non_trivial_dtor::noexcept_action,False,0,0,0,omit,omit,0,0,0,0,0,0
dtor::noexcept_calls_all_except,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::noexcept_calls_all_noexcept,False,0,0,0,omit,omit,0,0,0,0,0,0
dtor::except_calls_all_except,True,12,0,0,omit,uleb128,4,16,0,0,0,0
dtor::except_calls_all_noexcept,False,0,0,0,omit,omit,0,0,0,0,0,0
dtor::noexcept_calls_experiment1,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::noexcept_calls_experiment2,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::noexcept_calls_experiment3,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::noexcept_calls_experiment4,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::noexcept_calls_experiment5,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::noexcept_calls_experiment6,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::noexcept_calls_experiment7,True,0,0,0,omit,uleb128,0,0,0,0,0,0
dtor::except_calls_experiment1,True,12,0,0,omit,uleb128,2,8,0,0,0,0
dtor::except_calls_experiment2,True,12,0,0,omit,uleb128,2,8,0,0,0,0
dtor::except_calls_experiment3,True,12,0,0,omit,uleb128,2,8,0,0,0,0
dtor::except_calls_experiment4,True,12,0,0,omit,uleb128,2,8,0,0,0,0
dtor::except_calls_experiment5,True,12,0,0,omit,uleb128,2,8,0,0,0,0
dtor::except_calls_experiment6,True,12,0,0,omit,uleb128,2,8,0,0,0,0
dtor::except_calls_experiment7,True,12,0,0,omit,uleb128,4,16,0,0,0,0
